pillar,themes,macro_goal,mg_code,fy_numeric,fy_label,value,status
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2014,2013-14,2.5,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2015,2014-15,1.8,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2016,2015-16,1.5,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2017,2016-17,1.6,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2018,2017-18,2.2,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2019,2018-19,1.5,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2020,2019-20,2.3,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2021,2020-21,1.8,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2022,2021-22,2.1,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2023,2022-23,2.3,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2024,2023-24,2.4,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Oilseeds (MT/ha),AIRM4,2025,2024-25,2.239,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2014,2013-14,1.7,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2015,2014-15,1.8,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2016,2015-16,1.8,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2017,2016-17,1.8,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2018,2017-18,1.7,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2019,2018-19,1.7,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2020,2019-20,1.6,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2021,2020-21,1.6,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2022,2021-22,1.9,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2023,2022-23,1.9,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2024,2023-24,1.6,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Yield of Spices (MT/ha),AIRM7,2025,2024-25,1.6,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of land for Horticulture/Gross Sown Area,AIRM15,2014,2013-14,12.5,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of land for Horticulture/Gross Sown Area,AIRM15,2015,2014-15,11.6,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of land for Horticulture/Gross Sown Area,AIRM15,2016,2015-16,12.2,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of land for Horticulture/Gross Sown Area,AIRM15,2017,2016-17,12.4,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of land for Horticulture/Gross Sown Area,AIRM15,2018,2017-18,12.9,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of land for Horticulture/Gross Sown Area,AIRM15,2019,2018-19,12.9,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of land for Horticulture/Gross Sown Area,AIRM15,2020,2019-20,13.3,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of land for Horticulture/Gross Sown Area,AIRM15,2021,2020-21,13.4,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of land for Horticulture/Gross Sown Area,AIRM15,2022,2021-22,12.8,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of land for Horticulture/Gross Sown Area,AIRM15,2023,2022-23,13.3,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of land for Horticulture/Gross Sown Area,AIRM15,2024,2023-24,15.2,Actual
Thriving Economy - Earning Well,"Agriculture, Irrigation and Rural Development",Share of land for Horticulture/Gross Sown Area,AIRM15,2025,2024-25,14.5,Actual
