mg_code,macro_goal,direction,current_cagr,recommended_cagr_2030,recommended_cagr_2047,target_2030,target_2047,target_2030_achievement,target_2047_achievement
ACSM1,Number of UN recognized global tangible and intangible heritage,UP,0.157558,0.148698,0.065041,10,20,2029-30,2034-35
ACSM6,Number of Centers of Excellence for sports,UP,0.124438,-0.263032,-0.037152,5,10,2025-26,2025-26
ACSM7,Host of a major tournament,UP,0.065041,-0.653428,-0.031016,0,1,2025-26,2025-26
AIRM1,Yield of Cereal crops (MT/ha),UP,0.011735,0.011415,0.004129,2.9,3,2029-30,2032-33
AIRM10,Area under irrigation (Net irrigated/Net Sown Area),UP,0.037675,-0.019323,-0.001173,60.5,65,2025-26,2025-26
AIRM11,Area under micro irrigation (per unit Gross Sown Area),UP,0.094113,-0.016852,0.016639,23,36,2025-26,2029-30
AIRM12,Share of Canal irrigation (including tanks),UP,0.034004,0.029462,0.026706,38.85,60,2029-30,2042-43
AIRM13,Share of ultimate irrigation potential created,UP,0.024851,0.002317,0.001353,98.2,100,2025-26,2026-27
AIRM15,Share of land for Horticulture/Gross Sown Area,UP,0.013584,0.019883,0.014725,16,20,2032-33,2048-49
AIRM19,Average cattle productivity (kg/animal/year),UP,0.021221,-0.005642,0.007685,2300,2800,2025-26,2033-34
AIRM2,Yield of Pulses crops (MT/ha),UP,0.048598,-0.013704,0,1.4,1.5,2025-26,2025-26
AIRM20,Ratio of milk processing capacity over total milk production,UP,0.035173,0.007035,0.00918,72,85,2026-27,2030-31
AIRM21,Ratio of Milk Procurement under organized sector over milk total production,UP,0.018375,0.025936,0.014967,58,70,2032-33,2042-43
AIRM22,Per capita Milk availability (gm/person/day),UP,0.03932,0.016012,0.015628,770,1000,2026-27,2033-34
AIRM23,Per capita egg availability (Number/person/Annum),UP,0.008036,0.024137,0.013008,30,35,Critically Lagging,Critically Lagging
AIRM29,Share of women having a bank or savings account that they themselves use,UP,0.124599,0.025703,0.014664,87,100,2022-23,2023-24
AIRM3,Yield of Foodgrains (MT/ha),UP,0.007941,0.008198,0.003645,2.5,2.6,2030-31,2035-36
AIRM30,Households with any usual member covered under a health insurance/financing scheme,UP,0.152448,0.046905,0.029455,65,90,2023-24,2025-26
AIRM31,Self Help Groups with Credit (bank) linkage,UP,0.139833,0.148698,0.056251,60,100,2030-31,2034-35
AIRM32,Multi-Dimensional Poverty Index (MPI) Score (for Rural),DOWN,-0.116332,-0.087556,-0.07191,0.03,0.01,2027-28,2036-37
AIRM33,Infant Mortality Ratio (for Rural),DOWN,-0.060653,-0.161389,-0.100745,8,2,Critically Lagging,Critically Lagging
AIRM34,Households using clean fuel as primary source of energy for cooking (for Rural),UP,0.144161,0.056669,0.028325,80,98,2024-25,2025-26
AIRM35,Population living in households that use an improved sanitation facility (for Rural),UP,0.077275,0.045739,0.017081,99,100,2026-27,2026-27
AIRM36,Percentage surfaced rural roads,UP,-0.001809,0.004558,0.004784,92,100,Negative Trend,Negative Trend
AIRM38,Internet Subscribers per 100 population (for Rural),UP,0.104612,0.115572,0.030089,90,100,2030-31,2031-32
AIRM39,Rural Drinking water supply per capita (LPCD),UP,0.061221,0.053937,0.012011,100,100,2029-30,2029-30
AIRM4,Yield of Oilseeds (MT/ha),UP,-0.009974,0.013985,0.003161,2.4,2.4,Negative Trend,Negative Trend
AIRM40,Share of villages covered by surface based Multi Village Scheme (MVS),UP,0.028535,0.053417,0.011897,100,100,2034-35,2034-35
AIRM5,Yield of Fruits (MT/ha),UP,-0.011342,0.013532,0.013469,20,25.1,Negative Trend,Negative Trend
AIRM6,Yield of Vegetables (MT/ha),UP,0.056242,0.014341,0.007835,22.7,25.1,2026-27,2028-29
AIRM7,Yield of Spices (MT/ha),UP,-0.005496,0.034968,0.01458,1.9,2.2,Negative Trend,Negative Trend
AIRM8,Yield of Floriculture (MT/ha),UP,-0.00146,0.021516,0.009495,10.3,11.4,Negative Trend,Negative Trend
CAM1,Percentage of households having access to piped drinking water - all cities,UP,0.01174,0.030074,0.006757,100,100,2037-38,2037-38
CAM2,Per capita water supply (municipal corporations),UP,0.015184,-0.022085,-0.005063,150,150,2025-26,2025-26
